dataset,classifier,metric,mean,std
JapaneseVowels,"DW-NB(k=30,λ=0.5)",mcc,0.922205192814622,0.0072657875287105165
JapaneseVowels,"DW-NB(k=30,λ=0.5)",nb_knn_agreement_rate,0.8683861826443184,0.00850754079415241
JapaneseVowels,"DW-NB(k=30,λ=0.5)",predict_time_per_sample_ms,0.14797389372963954,0.03796389053342576
JapaneseVowels,"DW-NB(k=30,λ=0.5)",selected_lambda,0.5,0.0
JapaneseVowels,"DW-NB(k=30,λ=0.5)",weighted_f1,0.9309815716849921,0.006491775267764633
JapaneseVowels,"DW-NB(k=5,λ=0.5)",accuracy,0.9672720974167482,0.005233710647070724
JapaneseVowels,"DW-NB(k=5,λ=0.5)",auc_roc,0.999377119550463,0.00010948607766487387
JapaneseVowels,"DW-NB(k=5,λ=0.5)",balanced_accuracy,0.9652087568287362,0.005602409970866439
JapaneseVowels,"DW-NB(k=5,λ=0.5)",brier_score,0.04676380111064585,0.004651923464731731
JapaneseVowels,"DW-NB(k=5,λ=0.5)",ece,0.013789566312551928,0.002628854865078308
JapaneseVowels,"DW-NB(k=5,λ=0.5)",geometric_mean,0.9645265382322691,0.005832329693111122
JapaneseVowels,"DW-NB(k=5,λ=0.5)",log_loss,0.08260194535015587,0.010865541874508892
JapaneseVowels,"DW-NB(k=5,λ=0.5)",macro_f1,0.9654125145337022,0.005607192450964518
JapaneseVowels,"DW-NB(k=5,λ=0.5)",mcc,0.9629906864192186,0.005919842665554355
JapaneseVowels,"DW-NB(k=5,λ=0.5)",nb_knn_agreement_rate,0.8604547578478406,0.009457684656206833
JapaneseVowels,"DW-NB(k=5,λ=0.5)",predict_time_per_sample_ms,0.1128019687874493,0.024689590241469484
JapaneseVowels,"DW-NB(k=5,λ=0.5)",selected_lambda,0.5,0.0
JapaneseVowels,"DW-NB(k=5,λ=0.5)",weighted_f1,0.9671307293151052,0.005327574242769182
JapaneseVowels,DW-NB(w1-only),accuracy,0.9408684890011398,0.004984197298014586
JapaneseVowels,DW-NB(w1-only),auc_roc,0.997646020454048,0.00022771732980277418
JapaneseVowels,DW-NB(w1-only),balanced_accuracy,0.9365456002861577,0.00566551101702802
JapaneseVowels,DW-NB(w1-only),brier_score,0.08830295745803521,0.004626740852435409
JapaneseVowels,DW-NB(w1-only),ece,0.01709229454305718,0.0032089503204089207
JapaneseVowels,DW-NB(w1-only),geometric_mean,0.9351425418656806,0.00597706463184532
JapaneseVowels,DW-NB(w1-only),log_loss,0.15975308019682885,0.009173529040516774
JapaneseVowels,DW-NB(w1-only),macro_f1,0.9374042085458457,0.0053291343396938435
JapaneseVowels,DW-NB(w1-only),mcc,0.9330997464105598,0.005635888611511933
JapaneseVowels,DW-NB(w1-only),nb_knn_agreement_rate,0.8659768462012544,0.007987938743454338
JapaneseVowels,DW-NB(w1-only),predict_time_per_sample_ms,0.13020587211420498,0.027581574021419333
JapaneseVowels,DW-NB(w1-only),selected_lambda,0.5,0.0
