metric,classifier,avg_rank
macro_f1,MultinomialNB,8.526315789473685
macro_f1,GaussianNB,9.166666666666666
macro_f1,ComplementNB,9.56140350877193
mcc,"DW-NB(k=15,CV-λ)",2.6842105263157894
mcc,"DW-NB(k=5,λ=0.5)",3.93859649122807
mcc,DW-NB(w3-only),4.7631578947368425
mcc,"DW-NB(k=15,λ=0.5)",5.43859649122807
mcc,DW-NB(w1-only),5.43859649122807
mcc,NB+kNN-Ensemble,5.5964912280701755
mcc,DW-NB(w2-only),6.728070175438597
mcc,"DW-NB(k=30,λ=0.5)",7.631578947368421
mcc,BernoulliNB,8.342105263157896
mcc,MultinomialNB,8.833333333333334
mcc,GaussianNB,9.149122807017545
mcc,ComplementNB,9.456140350877194
predict_time,MultinomialNB,1.4912280701754386
predict_time,ComplementNB,1.631578947368421
predict_time,BernoulliNB,3.56140350877193
predict_time,GaussianNB,3.719298245614035
predict_time,"DW-NB(k=15,CV-λ)",4.754385964912281
predict_time,"DW-NB(k=5,λ=0.5)",7.649122807017544
predict_time,DW-NB(w1-only),8.526315789473685
predict_time,DW-NB(w3-only),8.807017543859649
predict_time,"DW-NB(k=15,λ=0.5)",8.912280701754385
predict_time,DW-NB(w2-only),9.175438596491228
predict_time,"DW-NB(k=30,λ=0.5)",9.403508771929825
predict_time,NB+kNN-Ensemble,10.368421052631579
predict_time_per_sample_ms,MultinomialNB,1.4912280701754386
predict_time_per_sample_ms,ComplementNB,1.631578947368421
predict_time_per_sample_ms,BernoulliNB,3.56140350877193
predict_time_per_sample_ms,GaussianNB,3.719298245614035
predict_time_per_sample_ms,"DW-NB(k=15,CV-λ)",4.754385964912281
predict_time_per_sample_ms,"DW-NB(k=5,λ=0.5)",7.649122807017544
predict_time_per_sample_ms,DW-NB(w1-only),8.526315789473685
predict_time_per_sample_ms,DW-NB(w3-only),8.807017543859649
predict_time_per_sample_ms,"DW-NB(k=15,λ=0.5)",8.912280701754385
predict_time_per_sample_ms,DW-NB(w2-only),9.175438596491228
predict_time_per_sample_ms,"DW-NB(k=30,λ=0.5)",9.403508771929825
predict_time_per_sample_ms,NB+kNN-Ensemble,10.368421052631579
weighted_f1,"DW-NB(k=15,CV-λ)",2.2280701754385963
weighted_f1,"DW-NB(k=5,λ=0.5)",3.93859649122807
weighted_f1,DW-NB(w3-only),4.9035087719298245
weighted_f1,DW-NB(w1-only),5.456140350877193
weighted_f1,"DW-NB(k=15,λ=0.5)",5.56140350877193
weighted_f1,NB+kNN-Ensemble,5.719298245614035
weighted_f1,DW-NB(w2-only),6.833333333333333
weighted_f1,"DW-NB(k=30,λ=0.5)",7.7894736842105265
weighted_f1,MultinomialNB,8.087719298245615
weighted_f1,BernoulliNB,8.228070175438596
weighted_f1,GaussianNB,9.324561403508772
weighted_f1,ComplementNB,9.929824561403509
