dataset,classifier,fold,metric,value,fit_time,predict_time
iris,GaussianNB,1,accuracy,0.9333333333333333,0.06559839999999895,0.010185899999669346
iris,GaussianNB,1,macro_f1,0.9326599326599326,0.06559839999999895,0.010185899999669346
iris,GaussianNB,1,auc_roc,1.0,0.06559839999999895,0.010185899999669346
iris,GaussianNB,1,log_loss,0.07058807949011814,0.06559839999999895,0.010185899999669346
iris,GaussianNB,1,brier_score,0.05495914595369888,0.06559839999999895,0.010185899999669346
iris,GaussianNB,1,ece,0.04495924722398332,0.06559839999999895,0.010185899999669346
iris,GaussianNB,1,balanced_accuracy,0.9333333333333332,0.06559839999999895,0.010185899999669346
iris,GaussianNB,1,geometric_mean,0.9477034963501433,0.06559839999999895,0.010185899999669346
iris,GaussianNB,1,mcc,0.9060606745389328,0.06559839999999895,0.010185899999669346
iris,GaussianNB,1,weighted_f1,0.9326599326599326,0.06559839999999895,0.010185899999669346
iris,GaussianNB,1,selected_lambda,,0.06559839999999895,0.010185899999669346
iris,GaussianNB,1,nb_knn_agreement_rate,,0.06559839999999895,0.010185899999669346
iris,GaussianNB,1,predict_time_per_sample_ms,0.6790599999779564,0.06559839999999895,0.010185899999669346
iris,GaussianNB,2,accuracy,1.0,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,2,macro_f1,1.0,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,2,auc_roc,1.0,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,2,log_loss,0.026474745823969793,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,2,brier_score,0.008100235642280565,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,2,ece,0.024172295916378966,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,2,balanced_accuracy,1.0,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,2,geometric_mean,1.0,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,2,mcc,1.0,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,2,weighted_f1,1.0,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,2,selected_lambda,,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,2,nb_knn_agreement_rate,,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,2,predict_time_per_sample_ms,0.1462066666742127,0.024637499999698775,0.0021931000001131906
iris,GaussianNB,3,accuracy,1.0,0.018953400000100373,0.008094900000287453
iris,GaussianNB,3,macro_f1,1.0,0.018953400000100373,0.008094900000287453
iris,GaussianNB,3,auc_roc,1.0,0.018953400000100373,0.008094900000287453
